,Player,Team,Age,Height,Weight,GP,Injury Status,MP,Pos
0,Aaron Gordon,ORL,23.0,6.75,220.0,78.0,Injured,32.9,PF
1,Aaron Holiday,IND,22.0,6.08,185.0,50.0,Not Injured,,
2,Abdel Nader,OKC,25.0,6.5,225.0,61.0,Not Injured,10.9,SF
3,Al Horford,BOS,33.0,6.83,245.0,68.0,Injured,31.6,C
4,Al-Farouq Aminu,POR,28.0,6.75,220.0,81.0,Not Injured,30.0,PF
5,Alan Williams,BKN,26.0,6.67,265.0,5.0,Injured,14.0,PF
6,Alec Burks,SAC,27.0,6.5,214.0,64.0,Not Injured,16.5,SG
7,Alex Abrines,OKC,25.0,6.5,200.0,31.0,Injured,15.1,SG
8,Alex Caruso,LAL,25.0,6.42,186.0,25.0,Not Injured,15.2,PG
9,Alex Len,ATL,26.0,7.08,250.0,77.0,Injured,20.2,C
10,Alex Poythress,ATL,25.0,6.75,235.0,21.0,Not Injured,4.2,PF
11,Alfonzo McKinnie,GSW,26.0,6.67,215.0,72.0,Not Injured,3.8,SF
12,Alize Johnson,IND,23.0,6.75,212.0,14.0,Not Injured,,
13,Allen Crabbe,BKN,27.0,6.5,212.0,43.0,Injured,29.3,SG
14,Allonzo Trier,NYK,23.0,6.42,200.0,64.0,Not Injured,,
15,Amile Jefferson,ORL,26.0,6.75,222.0,12.0,Not Injured,,
16,Amir Johnson,PHI,32.0,6.75,240.0,51.0,Injured,15.8,C
17,Andre Drummond,DET,25.0,6.92,279.0,79.0,Injured,33.7,C
18,Andre Iguodala,GSW,35.0,6.5,215.0,68.0,Injured,25.3,SF
19,Andre Ingram,LAL,33.0,6.25,190.0,4.0,Not Injured,32.0,SG
20,Andrew Bogut,GSW,34.0,7.0,260.0,11.0,Injured,9.0,C
21,Andrew Harrison,NOP,24.0,6.5,213.0,17.0,Injured,23.7,PG
22,Andrew Wiggins,MIN,24.0,6.67,194.0,73.0,Not Injured,36.3,SF
23,Anfernee Simons,POR,20.0,6.33,185.0,20.0,Not Injured,,
24,Angel Delgado,LAC,24.0,6.83,245.0,2.0,Not Injured,,
25,Ante Zizic,CLE,22.0,6.92,254.0,59.0,Not Injured,6.7,C
26,Anthony Davis,NOP,26.0,6.83,253.0,56.0,Injured,36.4,PF
27,Anthony Tolliver,MIN,34.0,6.67,250.0,65.0,Not Injured,22.2,PF
28,Antonio Blakeney,CHI,22.0,6.33,192.0,57.0,Injured,16.5,SG
29,Aron Baynes,BOS,32.0,6.83,260.0,51.0,Not Injured,18.3,C
30,Austin Rivers,HOU,26.0,6.33,200.0,76.0,Injured,33.7,SG
31,Avery Bradley,MEM,28.0,6.17,180.0,63.0,Injured,31.2,SG
32,BJ Johnson,SAC,23.0,6.58,200.0,7.0,Not Injured,,
33,Bam Adebayo,MIA,21.0,6.83,255.0,82.0,Injured,19.8,C
34,Ben McLemore,SAC,26.0,6.42,201.0,19.0,Injured,19.5,SG
35,Ben Simmons,PHI,22.0,6.83,230.0,79.0,Injured,33.7,PG
36,Billy Garrett,NYK,24.0,6.5,215.0,4.0,Not Injured,,
37,Bismack Biyombo,CHA,26.0,6.75,255.0,54.0,Not Injured,18.2,C
38,Blake Griffin,DET,30.0,6.83,250.0,75.0,Injured,34.0,PF
39,Boban Marjanovic,PHI,30.0,7.25,290.0,58.0,Not Injured,8.6,C
40,Bobby Portis,WAS,24.0,6.92,250.0,50.0,Injured,22.5,PF
41,Bogdan Bogdanovic,SAC,26.0,6.5,205.0,70.0,Injured,27.9,SG
42,Bojan Bogdanovic,IND,30.0,6.67,216.0,81.0,Not Injured,30.8,SF
43,Bonzie Colson,MIL,23.0,6.5,225.0,8.0,Not Injured,,
44,Brad Wanamaker,BOS,29.0,6.33,210.0,36.0,Not Injured,,
45,Bradley Beal,WAS,26.0,6.42,207.0,82.0,Not Injured,36.3,SG
46,Brandon Goodwin,DEN,23.0,6.17,180.0,16.0,Not Injured,,
47,Brandon Ingram,LAL,21.0,6.75,190.0,52.0,Injured,33.5,SF
48,Brandon Knight,CLE,27.0,6.25,195.0,39.0,Injured,,
49,Brandon Sampson,CHI,22.0,6.42,184.0,14.0,Not Injured,,
50,Brook Lopez,MIL,31.0,7.0,270.0,81.0,Injured,23.4,C
51,Bruce Brown,DET,22.0,6.42,202.0,74.0,Not Injured,,
52,Bruno Caboclo,MEM,23.0,6.75,218.0,34.0,Not Injured,8.9,SF
53,Bryn Forbes,SAS,25.0,6.25,190.0,82.0,Not Injured,19.0,SG
54,Buddy Hield,SAC,26.0,6.33,214.0,82.0,Not Injured,25.3,SG
55,C.J. Williams,MIN,29.0,6.42,226.0,15.0,Injured,18.6,SG
56,CJ McCollum,POR,27.0,6.25,190.0,70.0,Not Injured,36.1,SG
57,CJ Miles,MEM,32.0,6.5,220.0,53.0,Not Injured,,
58,Caleb Swanigan,SAC,22.0,6.75,250.0,21.0,Not Injured,7.0,PF
59,Cameron Payne,CLE,24.0,6.25,190.0,40.0,Injured,23.3,PG
60,Cameron Reynolds,MIN,24.0,6.67,225.0,19.0,Not Injured,,
61,Caris LeVert,BKN,24.0,6.58,204.0,40.0,Injured,26.3,SF
62,Carmelo Anthony,HOU,35.0,6.67,240.0,10.0,Injured,32.1,PF
63,Cedi Osman,CLE,24.0,6.67,215.0,76.0,Injured,11.0,SF
64,Chandler Hutchison,CHI,23.0,6.58,197.0,44.0,Not Injured,,
65,Chandler Parsons,MEM,30.0,6.83,230.0,25.0,Injured,19.2,SF
66,Channing Frye,CLE,36.0,7.0,255.0,36.0,Injured,13.1,C
67,Chasson Randle,WAS,26.0,6.17,185.0,49.0,Not Injured,,
68,Cheick Diallo,NOP,22.0,6.75,220.0,64.0,Not Injured,11.2,PF
69,Chimezie Metu,SAS,22.0,6.83,225.0,29.0,Not Injured,,
70,Chris Boucher,TOR,26.0,6.83,200.0,28.0,Injured,1.0,PF
71,Chris Chiozza,HOU,23.0,6.0,175.0,7.0,Not Injured,,
72,Chris Paul,HOU,34.0,6.0,175.0,58.0,Injured,31.8,PG
73,Christian Wood,NOP,23.0,6.83,214.0,21.0,Not Injured,,
74,Clint Capela,HOU,25.0,6.83,240.0,67.0,Injured,27.5,C
75,Cody Zeller,CHA,26.0,7.0,240.0,49.0,Injured,19.0,C
76,Collin Sexton,CLE,20.0,6.17,190.0,82.0,Not Injured,,
77,Corey Brewer,SAC,33.0,6.75,186.0,31.0,Not Injured,16.8,SF-SG
78,Cory Joseph,IND,27.0,6.25,193.0,82.0,Not Injured,27.0,PG
79,Courtney Lee,DAL,33.0,6.42,215.0,34.0,Injured,30.4,SG
80,Cristiano Felicio,CHI,26.0,6.83,265.0,60.0,Injured,17.8,C
81,D'Angelo Russell,BKN,23.0,6.42,198.0,81.0,Injured,25.7,PG
82,D.J. Augustin,ORL,31.0,6.0,183.0,81.0,Not Injured,23.5,PG
83,D.J. Wilson,MIL,23.0,6.83,231.0,48.0,Not Injured,3.2,PF
84,DJ Stephens,MEM,28.0,6.42,188.0,1.0,Not Injured,,
85,Dairis Bertans,NOP,29.0,6.33,200.0,12.0,Not Injured,,
86,Damian Jones,GSW,23.0,7.0,245.0,24.0,Not Injured,5.9,C
87,Damian Lillard,POR,28.0,6.25,195.0,80.0,Injured,36.6,PG
88,Damion Lee,GSW,26.0,6.5,210.0,32.0,Not Injured,26.9,SG
89,Damyean Dotson,NYK,25.0,6.5,210.0,73.0,Injured,10.8,SG
90,Daniel Hamilton,ATL,23.0,6.58,195.0,19.0,Not Injured,4.7,SG
91,Daniel Theis,BOS,27.0,6.67,243.0,66.0,Injured,14.9,C
92,Danilo Gallinari,LAC,30.0,6.83,225.0,68.0,Injured,32.0,SF
93,Danny Green,TOR,32.0,6.5,215.0,80.0,Injured,25.6,SG
94,Dante Cunningham,SAS,32.0,6.67,230.0,64.0,Injured,21.4,SF
95,Dante Exum,UTA,23.0,6.5,190.0,42.0,Injured,16.8,PG
96,Danuel House Jr.,HOU,26.0,6.58,220.0,39.0,Not Injured,,
97,Dario Saric,MIN,25.0,6.83,223.0,81.0,Injured,29.6,PF
98,Darius Miller,NOP,29.0,6.67,225.0,69.0,Not Injured,23.7,SF
99,Darren Collison,IND,31.0,6.0,175.0,76.0,Injured,29.2,PG
100,Daryl Macon,DAL,23.0,6.25,185.0,8.0,Not Injured,,
101,David Nwaba,CLE,26.0,6.33,219.0,51.0,Injured,23.5,SG
102,Davis Bertans,SAS,26.0,6.83,225.0,76.0,Not Injured,14.1,PF
103,Davon Reed,IND,24.0,6.42,208.0,10.0,Injured,11.5,SG
104,De'Aaron Fox,SAC,21.0,6.25,175.0,81.0,Injured,27.8,PG
105,De'Anthony Melton,PHX,21.0,6.33,200.0,50.0,Not Injured,,
106,DeAndre Jordan,NYK,30.0,6.92,265.0,69.0,Injured,31.5,C
107,DeAndre' Bembry,ATL,24.0,6.5,210.0,82.0,Injured,17.5,SF
108,DeMar DeRozan,SAS,29.0,6.58,220.0,77.0,Injured,33.9,SG
109,DeMarcus Cousins,GSW,28.0,6.92,270.0,30.0,Injured,36.2,C
110,DeMarre Carroll,BKN,32.0,6.67,215.0,67.0,Injured,29.9,PF
111,DeVaughn Akoon-Purcell,DEN,26.0,6.5,200.0,7.0,Not Injured,,
112,Deandre Ayton,PHX,20.0,7.08,250.0,71.0,Not Injured,,
113,Delon Wright,MEM,27.0,6.42,183.0,75.0,Injured,20.8,PG
114,Demetrius Jackson,PHI,24.0,6.08,201.0,6.0,Not Injured,5.3,PG
115,Deng Adel,CLE,22.0,6.58,200.0,19.0,Not Injured,,
116,Dennis Schroder,OKC,25.0,6.08,172.0,79.0,Injured,31.0,PG
117,Dennis Smith Jr.,NYK,21.0,6.25,195.0,53.0,Injured,,
118,Deonte Burton,OKC,25.0,6.42,245.0,32.0,Not Injured,,
119,Derrick Favors,UTA,27.0,6.83,265.0,76.0,Injured,28.0,C
