,PLAYER,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POSITION,HEIGHT,WEIGHT,AGE,Injury Status,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
0,Abdelkader Justin,71,6,13,19,-14,15.4,1465,20.6,57:32:00,LW,"6'2""",214,32,Injured,1.0,11.0,Leg,Detroit
1,Aberg Pontus,59,12,13,25,-14,14.6,1107,18.8,34:26:00,LW,"5'11""",196,25,Injured,1.0,8.0,Lower body,Minnesota
2,Abramov Vitaly,1,0,0,0,-3,13.866666666666667,18,18.0,0:00,RW,"5'9""",171,21,Not Injured,,,,
3,Acciari Noel,72,6,8,14,-3,12.983333333333333,1238,17.2,66:47:00,C,"5'10""",205,27,Not Injured,,,,
4,Agostino Kenny,63,6,18,24,-3,12.916666666666664,1072,17.0,33:54:00,LW,"6'0""",199,27,Not Injured,,,,
5,Agozzino Andrew,11,1,1,2,2,7.816666666666666,113,10.3,42:57:00,LW,"5'10""",187,28,Not Injured,,,,
6,Aho Sebastian,82,30,53,83,25,20.15,2008,24.5,19:54,C,"6'0""",176,21,Not Injured,,,,
7,Alt Mark,2,0,0,0,0,9.916666666666666,29,14.5,0:00,D,"6'4""",201,27,Not Injured,,,,
8,Alzner Karl,9,0,1,1,1,17.3,215,23.9,155:42:00,D,"6'3""",219,30,Not Injured,,,,
9,Amadio Michael,43,6,7,13,-1,10.2,606,14.1,33:45:00,C,"6'1""",205,23,Not Injured,,,,
10,Anderson Joey,34,4,3,7,-7,12.9,582,17.1,62:39:00,RW,"5'11""",190,21,Injured,1.0,33.0,Ankle,New Jersey
11,Anderson Josh,82,27,20,47,25,17.016666666666666,1814,22.1,29:42:00,RW,"6'3""",221,25,Not Injured,,,,
12,Anderson-Dolan Jaret,5,0,1,1,-2,11.6,75,15.0,58:01:00,C,"5'11""",191,19,Not Injured,,,,
13,Andersson Lias,42,2,4,6,-13,10.716666666666667,663,15.8,75:01:00,C,"5'11""",198,20,Not Injured,,,,
14,Andersson Rasmus,79,2,17,19,17,16.033333333333335,1639,20.7,66:41:00,D,"6'1""",214,22,Not Injured,,,,
15,Andrighetto Sven,64,7,10,17,10,11.066666666666665,930,14.5,41:40:00,RW,"5'10""",188,26,Injured,1.0,6.0,Lower body,Colorado
16,Anisimov Artem,78,15,22,37,-2,16.35,1611,20.7,34:27:00,C,"6'4""",198,31,Injured,1.0,4.0,Concussion,Chicago
17,Appleton Mason,36,3,7,10,9,8.2,427,11.9,29:32:00,C,"6'2""",193,23,Not Injured,,,,
18,Archibald Darren,12,1,1,2,-3,7.383333333333334,138,11.5,44:15:00,RW,"6'3""",212,29,Not Injured,,,,
19,Archibald Josh,68,12,10,22,1,13.566666666666665,1397,20.5,41:56:00,RW,"5'10""",176,26,Injured,1.0,4.0,Upper body,Arizona/Phoenix
20,Armia Joel,57,13,10,23,0,15.8,1213,21.3,39:08:00,RW,"6'4""",210,26,Injured,1.0,25.0,Knee,Montreal
21,Arvidsson Viktor,58,34,14,48,12,19.15,1388,23.9,23:08,RW,"5'9""",180,26,Injured,2.0,3.0,Lower body,Nashville
22,Arvidsson Viktor,58,34,14,48,12,19.15,1388,23.9,23:08,RW,"5'9""",180,26,Injured,2.0,21.0,Thumb,Nashville
