,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
0,LW,"6'2""",214,Abdelkader Justin,32,Injured,1.0,11.0,Leg,Detroit
1,LW,"5'11""",196,Aberg Pontus,25,Injured,1.0,8.0,Lower body,Minnesota
2,RW,"5'9""",171,Abramov Vitaly,21,Not Injured,,,,
3,C,"5'10""",205,Acciari Noel,27,Not Injured,,,,
4,LW,"6'0""",199,Agostino Kenny,27,Not Injured,,,,
5,LW,"5'10""",187,Agozzino Andrew,28,Not Injured,,,,
6,C,"6'0""",176,Aho Sebastian,21,Not Injured,,,,
7,D,"6'1""",179,Allard Frederic,21,Not Injured,,,,
8,G,"6'2""",203,Allen Jake,28,Not Injured,,,,
9,D,"6'4""",201,Alt Mark,27,Not Injured,,,,
10,D,"6'3""",219,Alzner Karl,30,Not Injured,,,,
11,C,"6'1""",205,Amadio Michael,23,Not Injured,,,,
12,D,"6'2""",205,Amorosa Terrance,24,Not Injured,,,,
13,G,"6'4""",230,Andersen Frederik,29,Injured,2.0,6.0,Groin,Toronto
14,G,"6'4""",230,Andersen Frederik,29,Injured,2.0,1.0,Knee,Toronto
15,G,"6'2""",185,Anderson Craig,38,Injured,2.0,11.0,Concussion,Ottawa
16,G,"6'2""",185,Anderson Craig,38,Injured,2.0,3.0,Eye,Ottawa
17,RW,"5'11""",190,Anderson Joey,21,Injured,1.0,33.0,Ankle,New Jersey
18,RW,"6'3""",221,Anderson Josh,25,Not Injured,,,,
19,C,"5'11""",191,Anderson-Dolan Jaret,19,Not Injured,,,,
20,C,"5'11""",198,Andersson Lias,20,Not Injured,,,,
21,D,"6'1""",214,Andersson Rasmus,22,Not Injured,,,,
22,LW,"6'1""",203,Andreoff Andy,28,Not Injured,,,,
23,RW,"5'10""",188,Andrighetto Sven,26,Injured,1.0,6.0,Lower body,Colorado
24,C,"6'5""",210,Angello Anthony,23,Not Injured,,,,
25,C,"6'4""",198,Anisimov Artem,31,Injured,1.0,4.0,Concussion,Chicago
26,D,"5'11""",175,Antipin Victor,26,Not Injured,,,,
27,C,"6'2""",193,Appleton Mason,23,Not Injured,,,,
28,LW,"5'11""",176,Archambault Oliver,26,Not Injured,,,,
29,RW,"6'3""",212,Archibald Darren,29,Not Injured,,,,
30,RW,"5'10""",176,Archibald Josh,26,Injured,1.0,4.0,Upper body,Arizona/Phoenix
31,RW,"6'4""",210,Armia Joel,26,Injured,1.0,25.0,Knee,Montreal
32,RW,"5'9""",180,Arvidsson Viktor,26,Injured,2.0,3.0,Lower body,Nashville
33,RW,"5'9""",180,Arvidsson Viktor,26,Injured,2.0,21.0,Thumb,Nashville
34,C,"6'0""",204,Aston-Reese Zachary,24,Not Injured,,,,
35,C,"6'2""",177,Athanasiou Andreas,24,Injured,1.0,2.0,Upper body,Detroit
36,RW,"5'8""",179,Atkinson Cam,30,Injured,1.0,1.0,Facial,Columbus
37,RW,"5'11""",196,Aube-Kubel Nicolas,23,Not Injured,,,,
38,D,"5'11""",187,Auvitu Yohann,29,Not Injured,,,,
39,G,"5'10""",183,Bachman Richard,31,Not Injured,,,,
40,RW,"6'3""",215,Backes David,35,Injured,1.0,5.0,Upper body,Boston
41,C,"6'0""",200,Backlund Mikael,30,Injured,1.0,4.0,Concussion,Calgary
42,C,"6'1""",210,Backstrom Nicklas,31,Not Injured,,,,
43,LW,"5'11""",190,Baertschi Sven,26,Injured,2.0,23.0,Concussion,Vancouver
44,LW,"5'11""",190,Baertschi Sven,26,Injured,2.0,30.0,Concussion,Vancouver
45,RW,"6'1""",212,Bailey Josh,29,Not Injured,,,,
46,RW,"6'4""",214,Bailey Justin,24,Not Injured,,,,
47,C,"6'2""",198,Bakos Martin,29,Not Injured,,,,
48,LW,"5'11""",175,Balcers Rudolfs,22,Not Injured,,,,
49,LW,"5'11""",185,Bancks Carter,29,Not Injured,,,,
50,RW,"6'1""",205,Baptiste Nicholas,23,Not Injured,,,,
51,C,"6'0""",187,Barbashev Ivan,23,Not Injured,,,,
52,D,"6'1""",200,Barberio Mark,29,Injured,2.0,8.0,Head,Colorado
53,D,"6'1""",200,Barberio Mark,29,Injured,2.0,19.0,Upper body,Colorado
54,C,"6'3""",213,Barkov Aleksander,23,Not Injured,,,,
55,C,"5'10""",165,Barre-Boulet Alex,22,Not Injured,,,,
56,D,"5'10""",190,Barrie Tyson,27,Injured,1.0,4.0,Lower body,Colorado
