,Player,Team,Age,Height,Weight,GP,Injury Status_Injured,MP,Pos,predicted
302,Kent Bazemore,ATL,29.0,6.42,201.0,67.0,1,27.5,SG,1
47,Brandon Ingram,LAL,21.0,6.75,190.0,52.0,1,33.5,SF,1
247,Jerian Grant,ORL,26.0,6.33,205.0,60.0,0,22.8,PG,1
241,Jeff Green,WAS,32.0,6.75,235.0,77.0,0,23.4,PF,1
312,Klay Thompson,GSW,29.0,6.58,215.0,78.0,0,34.3,SG,1
406,Pau Gasol,MIL,38.0,7.0,250.0,30.0,1,23.5,C,1
130,Dion Waiters,MIA,27.0,6.33,215.0,44.0,1,30.6,SG,1
386,Nicolas Batum,CHA,30.0,6.67,200.0,75.0,1,31.0,SG,1
146,Dwight Powell,DAL,27.0,6.92,240.0,77.0,1,21.2,C,1
21,Andrew Harrison,NOP,24.0,6.5,213.0,17.0,1,23.7,PG,0
420,Richaun Holmes,PHX,25.0,6.83,235.0,70.0,1,15.5,C,1
502,Tyrone Wallace,LAC,25.0,6.42,198.0,62.0,0,28.4,PG,1
202,Isaiah Hicks,NYK,24.0,6.75,230.0,3.0,0,13.3,PF,0
119,Derrick Favors,UTA,27.0,6.83,265.0,76.0,1,28.0,C,1
246,Jeremy Lin,TOR,30.0,6.25,200.0,74.0,1,25.0,PG,0
95,Dante Exum,UTA,23.0,6.5,190.0,42.0,1,16.8,PG,1
318,Kyle Korver,UTA,38.0,6.58,212.0,70.0,1,21.6,SG,0
161,Ersan Ilyasova,MIL,32.0,6.83,235.0,67.0,1,25.1,PF,1
286,Justin Anderson,ATL,25.0,6.5,230.0,48.0,1,13.7,SF,0
402,Patrick Beverley,LAC,30.0,6.08,185.0,78.0,1,30.4,SG,0
68,Cheick Diallo,NOP,22.0,6.75,220.0,64.0,0,11.2,PF,0
256,Joe Harris,BKN,27.0,6.5,218.0,76.0,1,25.3,SG,1
179,Giannis Antetokounmpo,MIL,24.0,6.92,242.0,72.0,1,36.7,PF,1
138,Doug McDermott,IND,27.0,6.67,225.0,77.0,1,21.8,SF,0
222,Jamal Crawford,PHX,39.0,6.42,185.0,64.0,1,20.7,SG,1
422,Robert Covington,MIN,28.0,6.75,225.0,35.0,0,31.7,SF,0
273,Jordan Clarkson,CLE,27.0,6.42,194.0,81.0,0,23.3,SG,1
86,Damian Jones,GSW,23.0,7.0,245.0,24.0,0,5.9,C,0
437,Salah Mejri,DAL,33.0,7.17,235.0,36.0,1,12.0,C,1
25,Ante Zizic,CLE,22.0,6.92,254.0,59.0,0,6.7,C,0
